,input
210,True and not ( False or False ) is
211,not True and False or False and True is
212,not True or not False and not True is
213,not True or False or True and True is
214,not True and True and False and True is
215,False and False or not True and True is
216,( not False or False and True ) is
217,( True or False ) or not True is
218,not not not ( False ) and False is
219,not False and False and False and True is
220,False and not True and True or False is
221,( False or not False and False ) is
222,False or ( False or not False ) is
223,not False or True or False and False is
224,True or ( not False ) or True is
225,not False and False or True or False is
226,False and not ( not not False ) is
227,not not ( not True ) or False is
228,False and not True and True and False is
229,True or False and not ( True ) is
230,not ( False ) and ( True ) is
231,False and not ( ( True ) ) is
232,not False or ( not not False ) is
233,( ( not False ) and False ) is
234,True or False and not False and True is
235,( ( not True and True ) ) is
236,not ( False ) or not not False is
237,not ( False or False and False ) is
238,False and not ( not not True ) is
239,False and False and not ( True ) is
240,False or ( not False and False ) is
241,False or ( not not not True ) is
242,( not False ) or not not False is
243,not False and False and True or False is
244,True or not False and ( False ) is
245,( not ( False ) ) or False is
246,True and not True or False and True is
247,not ( not not not not False ) is
248,True and ( not True or False ) is
249,( not not not False or True ) is
