Unnamed: 0,input
56,"""Kawhi Leonard took a turnaround jumper."""
57,"""Brandin Cooks went for it on fourth down."""
58,"""Clint Capela got into the endzone."""
59,"""Javier Zanetti watched the pitch go by in the National League Championship Series."""
60,"""Wayne Rooney threw a touchdown in the Superbowl."""
61,"""Tyler Boyd hit the screen pass in the NFC divisional round."""
62,"""Marouane Fellaini scored in extra time."""
63,"""Joao Moutinho was out at third."""
64,"""Vincent Kompany comitted a three second violation."""
65,"""Tuukka Rask killed the powerplay."""
66,"""Juan Soto shot from beyond the arc."""
67,"""Jordan Binnington scored in the third period."""
68,"""Malcolm Brogdon drove into the restricted area in the Eastern Conference Finals."""
69,"""Didier Drogba got into the endzone."""
70,"""Mike Hoffman launched the half court shot in the Western Conference Finals."""
71,"""Pedro struck out the side."""
72,"""Fernando Tatis Jr. earned a red card."""
73,"""Evander Kane hit the slant pass in the AFC divisional round."""
74,"""Igor Shesterkin launched a hail mary."""
75,"""Gerrit Cole committed a handball in the European Cup."""
76,"""Philip Rivers drove into the restricted area."""
77,"""Norman Powell committed a blocking foul."""
78,"""Nazem Kadri was out at home."""
79,"""Sterling Shepard converted the first down."""
80,"""Mario Gomez scored a reverse layup."""
81,"""Andres Iniesta performed a give and go."""
82,"""Drew Brees was flagged on the play."""
83,"""Ramires scored a header goal."""
84,"""Luis Robert was out at second."""
85,"""Matthew Stafford launched a hail mary."""
86,"""T.Y. Hilton drew a flag on the play."""
87,"""Courtland Sutton hit a triple."""
88,"""Mark Stone spent time in the penalty box in the Stanley Cup."""
89,"""Dejounte Murray took a side-step three."""
90,"""Mike Trout eurostepped to the basket."""
91,"""Josh Allen hit the screen pass."""
92,"""Yaya Toure scored a freekick."""
93,"""Sean Couturier maradona'd the defender."""
94,"""Mitchell Marner nutmegged the defender."""
95,"""Calvin Ridley skated behind the net."""
96,"""Walker Buehler earned a trip to the penalty box."""
97,"""Carlos Tevez skated backwards."""
98,"""Ben Simmons was called for the goal tend."""
99,"""Marvin Jones lost control of the puck."""
100,"""Brad Hand hit the wheel route."""
101,"""Aleksander Barkov bricked the three pointer."""
102,"""Josh Allen caught the screen pass."""
103,"""Connor McDavid threw a touchdown in the NFC divisional round."""
104,"""Amari Cooper scored a penalty kick."""
105,"""Mario Balotelli took a left footed shot in the Champions League Final."""
106,"""Willian killed the powerplay."""
107,"""Kendrick Nunn took a charge."""
108,"""Cooper Kupp scored in the third period in the Stanley Cup."""
109,"""Sean Couturier passed the puck in the Stanley Cup."""
110,"""Sterling Shepard hit a walkoff homer."""
111,"""Jesus Luzardo was called for slashing."""
112,"""Keenan Allen drew a flag on the play in the NFC championship."""
113,"""Jamal Murray walked on ball four."""
114,"""Toni Kroos performed a give and go."""
115,"""Mitchell Trubisky caught the screen pass."""
116,"""Sergio Busquets got on base."""
117,"""Domantas Sabonis gained five yards in the AFC championship."""
118,"""De'Aaron Fox scored a bicycle kick."""
119,"""James Harden shot from outside the eighteen."""
120,"""Patrick Kane backhanded a shot in the Stanley Cup."""
121,"""Malcolm Brogdon eurostepped to the basket in the NBA Championship."""
122,"""James Karinchak crossed the blue line."""
123,"""Joe Burrow gained five yards."""
124,"""Steven Stamkos hit the slant pass."""
125,"""John Carlson entered the attacking zone in the Stanley Cup."""
126,"""Patrice Bergeron converted the first down."""
127,"""Luke Voit was out at first."""
128,"""Timo Meier nutmegged the defender in the FA Cup."""
129,"""Max Scherzer was safe at first."""
130,"""Eden Hazard hit the buzzer beater."""
131,"""Neal Pionk shot from the six yard line."""
132,"""Nick Castellanos hit the wheel route."""
133,"""Tom Brady was safe at first."""
134,"""Sergio Ramos hit nothing but net."""
135,"""Khyri Thomas  changed direction in the backfield in the NFC championship."""
136,"""Leon Draisaitl grounded out to second base in the National League Championship Series."""
137,"""Bastian Schweinsteiger scored in added time."""
138,"""Aaron Nola converted the first down."""
139,"""Ketel Marte got into the endzone."""
140,"""Travis Konecny did a maradona on the defender."""
141,"""Pierre-Luc Dubois skated backwards."""
142,"""Ryan O'Reilly wristed a shot."""
143,"""Miro Heiskanen earned a trip to the penalty box."""
144,"""Angel Di Maria scored in extra time."""
145,"""Sam Darnold scored on the power play in the Stanley Cup."""
146,"""Gleyber Torres scored a bicycle kick."""
147,"""Tyler Glasnow scored a penalty kick."""
148,"""DeVante Parker was called for icing."""
149,"""Jayson Tatum was called for the goal tend."""
150,"""Carson Wentz caught the screen pass."""
151,"""Bryce Harper fumbled the ball."""
152,"""Keenan Allen beat the buzzer in the Western Conference Finals."""
153,"""Marcell Ozuna scored a touchdown."""
154,"""Brandon Woodruff set the hard screen in the Eastern Conference Finals."""
155,"""Jonas Valanciunas beat the buzzer."""
156,"""Nerlens Noel was out at home."""
157,"""Paulinho earned an indirect kick in the FA Cup."""
158,"""Klaas Jan Huntelaar shot the puck."""
159,"""David Pastrnak skated backwards."""
160,"""Joe Burrow caught the back shoulder fade in the Superbowl."""
161,"""Sergio Aguero maradona'd the defender."""
162,"""Gerrit Cole set the hard screen."""
163,"""CJ McCollum shot from the six yard line."""
164,"""Kyle Tucker took a left footed shot."""
165,"""Jakub Vrana skated backwards."""
166,"""Deshaun Watson was flagged on the play."""
167,"""Tyler Glasnow watched the pitch go by."""
168,"""Juan Soto took ball four."""
169,"""Anthony Davis beat the buzzer."""
170,"""Caris LeVert scored a reverse layup."""
171,"""Andrei Svechnikov took ball four."""
172,"""Trae Young got into the endzone."""
173,"""Nathan MacKinnon bricked the three pointer in the Eastern Conference Finals."""
174,"""A.J. Green scored in the third period."""
175,"""Elias Lindholm took the snap."""
176,"""Fred VanVleet passed the puck."""
177,"""Frederik Andersen converted the first down."""
178,"""Javier Mascherano took a left footed shot."""
179,"""Mike Trout hit a walkoff homer."""
180,"""Pete Alonso hit a triple in the World Series."""
181,"""Anthony Rizzo skated backwards in the Stanley Cup."""
182,"""Francisco Lindor walked on ball four."""
183,"""Klaas Jan Huntelaar scored the easy layup."""
184,"""Stefon Diggs hit the slant pass."""
185,"""Diego Forlan did a maradona on the defender."""
186,"""George Springer committed a blocking foul."""
187,"""Arjen Robben crossed the blue line in the Stanley Cup."""
188,"""Mitchell Robinson airballed the shot."""
189,"""Gabriel Landeskog launched the desperation heave."""
190,"""Vincent Kompany scored a bicycle kick."""
191,"""Mathew Barzal called for the screen."""
192,"""Kailer Yamamoto caught the back shoulder fade."""
193,"""Patrice Bergeron took a backhand shot."""
194,"""Collin Sexton hit the buzzer beater."""
195,"""Stephan El Shaarawy shot with the left foot."""
196,"""Nick Foles lost control of the puck."""
197,"""Ryan Nugent-Hopkins killed the powerplay."""
198,"""Kyle Connor eurostepped to the basket in the Western Conference Finals."""
199,"""Luka Modric went in studs up in the FA Cup."""
200,"""Dani Alves took the snap."""
201,"""Russell Westbrook scored on the power play."""
202,"""Mark Stone hit a triple."""
203,"""Teuvo Teravainen shot the puck."""
204,"""John Brown went for it on fourth down in the NFC championship."""
205,"""Kwadwo Asamoah beat the shot clock in the Eastern Conference Finals."""
206,"""Kyle Tucker stepped on first base."""
207,"""Neymar did a maradona on the defender in the Champions Leage Semifinal."""
208,"""Mookie Betts took a side-step three."""
209,"""Sonny Gray was out at second."""
210,"""Juan Soto did a double stepover."""
211,"""Juan Mata scored a bicycle kick in the Champions League Final."""
212,"""Dylan Larkin walked on ball four."""
213,"""Brandon Lowe took a left footed shot."""
214,"""Caris LeVert scored a reverse dunk."""
215,"""Emmanuel Sanders got a base hit."""
216,"""Robert Woods killed the powerplay."""
217,"""Jonathan Marchessault went five hole."""
218,"""Tristan Jarry dunked the ball."""
219,"""Wayne Rooney watched the pitch go by."""
220,"""Michael Thomas took the snap."""
221,"""Deshaun Watson took a corner kick."""
222,"""Mookie Betts scored on the power play."""
223,"""Tuukka Rask hit a double."""
224,"""Toni Kroos took a throw in in the Champions Leage Semifinal."""
225,"""Mike Williams fumbled the ball in the Superbowl."""
226,"""Allen Robinson gained five yards."""
227,"""Mario Gomez scored a reverse layup."""
228,"""Juan Mata caught the screen pass."""
229,"""Jamison Crowder drew a flag on the play."""
230,"""Mike Williams scored a bicycle kick in the FA Cup."""
231,"""Petr Cech was safe at first."""
232,"""Jayson Tatum took a side-step three in the NBA Championship."""
233,"""Thomas Muller hit a triple."""
234,"""James Karinchak worked a full count."""
235,"""Jerry Jeudy killed the powerplay."""
236,"""Stephen Curry scored a reverse layup."""
237,"""Mikal Bridges scored a windmill dunk."""
238,"""Ryan Fitzpatrick scored a touchdown."""
239,"""Jaylen Brown comitted a three second violation."""
240,"""Kenta Maeda caught the screen pass."""
241,"""Chris Godwin crossed the blue line in the Stanley Cup."""
242,"""Justin Herbert maradona'd the defender."""
243,"""Blake Snell hit a single."""
244,"""Darius Slayton ran out of bounds in the AFC championship."""
245,"""Nicklas Backstrom earned a trip to the penalty box."""
246,"""Pepe converted the first down."""
247,"""Kenta Maeda threw to first base in the American League Championship Series."""
248,"""Ryan O'Reilly hit the wheel route."""
249,"""Marcell Ozuna hit into a double play."""
